num_pages, num_copies, copy_size (bytes), total_size (MB), duration (sec), speed (MB/sec)
200,2,649600,1.2,3.23,0.383
300,3,649600,1.9,3.21,0.579
400,4,649600,2.5,3.22,0.769
500,5,649600,3.1,3.22,0.962
600,6,649600,3.7,3.23,1.151
700,7,649600,4.3,3.22,1.347
800,8,649600,5,3.2,1.549
900,9,649600,5.6,3.22,1.73
1000,10,649600,6.2,3.22,1.926
1100,11,649600,6.8,3.24,2.104
1200,12,649600,7.4,3.2,2.323
1300,13,649600,8.1,3.21,2.507
1400,14,649600,8.7,3.22,2.694
1500,15,649600,9.3,3.23,2.874
1600,16,649600,9.9,3.23,3.073
1700,17,649600,10.5,3.23,3.256
200,2,72200,0.1,0.04,3.444
1800,18,649600,11.2,3.22,3.467
1900,19,649600,11.8,3.22,3.659
2000,20,649600,12.4,3.22,3.85
2100,21,649600,13,3.22,4.034
68,17,500000,8.1,2,4.053
34,17,500000,8.1,1.95,4.168
51,17,500001,8.1,1.94,4.168
2200,22,649600,13.6,3.22,4.227
2300,23,649600,14.2,3.25,4.379
2400,24,649600,14.9,3.25,4.577
2500,25,649600,15.5,3.29,4.713
40,20,500000,9.5,1.96,4.862
300,3,72200,0.2,0.04,4.955
2600,26,649600,16.1,3.24,4.971
2700,27,649600,16.7,3.23,5.177
2800,28,649600,17.3,3.26,5.325
2900,29,649600,18,3.22,5.578
3000,30,649600,18.6,3.26,5.706
3100,31,649600,19.2,3.27,5.877
3200,32,649600,19.8,3.27,6.071
3300,33,649600,20.4,3.25,6.297
3400,34,649600,21.1,3.25,6.474
3500,35,649600,21.7,3.27,6.629
400,4,72200,0.3,0.04,6.709
3600,36,649600,22.3,3.27,6.829
3700,37,649600,22.9,3.25,7.051
3800,38,649600,23.5,3.23,7.284
3900,39,649600,24.2,3.24,7.453
4000,40,649600,24.8,3.25,7.635
4100,41,649600,25.4,3.24,7.848
4200,42,649600,26,3.25,7.994
4300,43,649600,26.6,3.26,8.177
500,5,72200,0.3,0.04,8.22
4400,44,649600,27.3,3.25,8.377
4500,45,649600,27.9,3.28,8.488
4600,46,649600,28.5,3.26,8.754
4700,47,649600,29.1,3.26,8.923
4800,48,649600,29.7,3.27,9.086
4900,49,649600,30.4,3.28,9.26
5000,50,649600,31,3.29,9.427
5100,51,649600,31.6,3.27,9.665
600,6,72200,0.4,0.04,9.74
5200,52,649600,32.2,3.26,9.888
5300,53,649600,32.8,3.23,10.165
5400,54,649600,33.5,3.25,10.301
5500,55,649600,34.1,3.24,10.502
5600,56,649600,34.7,3.27,10.605
5700,57,649600,35.3,3.3,10.704
5800,58,649600,35.9,3.25,11.049
5900,59,649600,36.6,3.27,11.174
6000,60,649600,37.2,3.27,11.374
700,7,72200,0.5,0.04,11.453
6100,61,649600,37.8,3.29,11.491
6200,62,649600,38.4,3.25,11.801
6300,63,649600,39,3.29,11.847
6400,64,649600,39.6,3.24,12.225
6500,65,649600,40.3,3.26,12.362
6600,66,649600,40.9,3.26,12.54
6700,67,649600,41.5,3.28,12.662
6800,68,649600,42.1,3.31,12.731
800,8,72200,0.6,0.04,13.026
6900,69,649600,42.7,3.27,13.082
7000,70,649600,43.4,3.27,13.272
7100,71,649600,44,3.26,13.477
7200,72,649600,44.6,3.27,13.627
7300,73,649600,45.2,3.27,13.848
7400,74,649600,45.8,3.28,13.988
7500,75,649600,46.5,3.26,14.263
7600,76,649600,47.1,3.27,14.4
7700,77,649600,47.7,3.26,14.612
7800,78,649600,48.3,3.29,14.689
900,9,72200,0.6,0.04,14.92
7900,79,649600,48.9,3.25,15.038
8000,80,649600,49.6,3.29,15.07
8100,81,649600,50.2,3.28,15.276
8300,83,649600,51.4,3.32,15.5
8200,82,649600,50.8,3.27,15.524
8400,84,649600,52,3.29,15.812
8500,85,649600,52.7,3.28,16.068
8600,86,649600,53.3,3.3,16.155
1000,10,72200,0.7,0.04,16.346
8700,87,649600,53.9,3.27,16.458
8800,88,649600,54.5,3.28,16.617
8900,89,649600,55.1,3.3,16.71
9000,90,649600,55.8,3.3,16.92
9300,93,649600,57.6,3.35,17.187
9100,91,649600,56.4,3.27,17.245
9200,92,649600,57,3.3,17.259
9400,94,649600,58.2,3.27,17.835
1100,11,72200,0.8,0.04,18.634
1200,12,72200,0.8,0.04,19.178
1300,13,72200,0.9,0.04,21.024
1400,14,72200,1,0.04,23.49
1500,15,72200,1,0.04,24.338
1600,16,72200,1.1,0.04,26.222
178,2,8099,0,0,27.056
1700,17,72200,1.2,0.04,27.703
1800,18,72200,1.2,0.04,29.015
1900,19,72200,1.3,0.04,31.242
2000,20,72200,1.4,0.04,32.295
2100,21,72200,1.4,0.04,34.073
2200,22,72200,1.5,0.04,34.681
2300,23,72200,1.6,0.04,37.254
2400,24,72200,1.7,0.04,38.712
2500,25,72200,1.7,0.04,39.433
270,3,8100,0,0,39.632
2600,26,72200,1.8,0.04,41.603
2700,27,72200,1.9,0.04,43.405
2800,28,72200,1.9,0.04,45.693
2900,29,72200,2,0.04,45.873
40,20,50000,1,0.02,46.448
400,200,500000,95.4,2.04,46.718
3000,30,72200,2.1,0.04,47.655
3100,31,72200,2.1,0.04,49.986
364,4,8099,0,0,50.482
3200,32,72200,2.2,0.04,51.122
3300,33,72200,2.3,0.04,52.5
3400,34,72200,2.3,0.04,54.725
3500,35,72200,2.4,0.04,55.811
3600,36,72200,2.5,0.04,56.388
3700,37,72200,2.5,0.04,56.754
3800,38,72200,2.6,0.04,59.923
4,2,40,0,0,61.11
3900,39,72200,2.7,0.04,62.4
4000,40,72200,2.8,0.04,63.201
4100,41,72200,2.8,0.04,63.727
460,5,8096,0,0,64.775
4200,42,72200,2.9,0.04,66.218
4300,43,72200,3,0.04,67.71
4400,44,72200,3,0.04,68.308
4500,45,72200,3.1,0.04,71.309
4600,46,72200,3.2,0.04,72.05
4700,47,72200,3.2,0.04,73.318
4900,49,72200,3.4,0.05,74.455
4800,48,72200,3.3,0.04,74.689
558,6,8091,0,0,75.061
5000,50,72200,3.4,0.05,75.95
5100,51,72200,3.5,0.04,78.193
5200,52,72200,3.6,0.05,79.326
5400,54,72200,3.7,0.05,82.165
5300,53,72200,3.6,0.04,82.307
5600,56,72200,3.9,0.05,85.635
5500,55,72200,3.8,0.04,85.741
658,7,8084,0.1,0,85.813
5800,58,72200,4,0.04,88.949
5700,57,72200,3.9,0.04,89.158
6100,61,72200,4.2,0.05,91.109
5900,59,72200,4.1,0.04,91.218
6000,60,72200,4.1,0.04,92.832
6200,62,72200,4.3,0.05,93.577
6400,64,72200,4.4,0.05,94.521
6300,63,72200,4.3,0.04,96.547
6600,66,72200,4.5,0.05,97.752
6700,67,72200,4.6,0.05,98.42
6500,65,72200,4.5,0.05,98.422
760,8,8075,0.1,0,99.148
6800,68,72200,4.7,0.05,100.513
2,2,99,0,0,101.74
6900,69,72200,4.8,0.05,103.583
7000,70,72200,4.8,0.05,104.378
7300,73,72200,5,0.05,105.286
7200,72,72200,5,0.05,105.672
7100,71,72200,4.9,0.05,105.919
864,9,8064,0.1,0,108.402
7500,75,72200,5.2,0.05,112.227
7400,74,72200,5.1,0.05,112.34
7600,76,72200,5.2,0.05,115.356
18,2,891,0,0,116.434
7700,77,72200,5.3,0.05,116.46
7800,78,72200,5.4,0.05,117.141
20,2,900,0,0,118.421
7900,79,72200,5.4,0.05,119.194
8000,80,72200,5.5,0.05,120.521
970,10,8051,0.1,0,121.425
8200,82,72200,5.6,0.05,122.193
8100,81,72200,5.6,0.05,122.351
8400,84,72200,5.8,0.05,125.06
8300,83,72200,5.7,0.05,125.279
8500,85,72200,5.9,0.05,126.182
8600,86,72200,5.9,0.05,128.183
8700,87,72200,6,0.05,128.912
6,3,100,0,0,130.268
1078,11,8036,0.1,0,130.628
8800,88,72200,6.1,0.05,131.33
8900,89,72200,6.1,0.05,132.637
9000,90,72200,6.2,0.05,132.8
9100,91,72200,6.3,0.05,132.91
9200,92,72200,6.3,0.05,133.572
9300,93,72200,6.4,0.05,135.176
1188,12,8019,0.1,0,138.087
9400,94,72200,6.5,0.05,138.551
9500,95,72200,6.5,0.05,138.776
9600,96,72200,6.6,0.05,140.589
9700,97,72200,6.7,0.05,141.876
9800,98,72200,6.7,0.05,142.865
9900,99,72200,6.8,0.05,142.869
1300,13,8100,0.1,0,149.31
12,4,99,0,0,156.512
1400,14,8100,0.1,0,158.998
30,3,900,0,0,161.037
1500,15,8100,0.1,0,170.655
20,5,100,0,0,173.128
1600,16,8100,0.1,0,177.607
1700,17,8100,0.1,0,187.554
30,6,100,0,0,189.197
42,7,102,0,0,192.529
1800,18,8100,0.1,0,195.505
1900,19,8100,0.1,0,202.805
90,10,99,0,0,206.075
44,4,891,0,0,208.151
56,8,105,0,0,209.306
2000,20,8100,0.2,0,211.988
99,11,99,0,0,212.224
72,9,104,0,0,215.231
2100,21,8100,0.2,0,220.482
108,12,99,0,0,222.388
126,14,99,0,0,226.622
117,13,99,0,0,228.564
2200,22,8100,0.2,0,229.212
153,17,99,0,0,232.067
135,15,99,0,0,234.36
144,16,99,0,0,234.378
2300,23,8100,0.2,0,236.897
60,5,900,0,0,237.896
315,35,99,0,0,241.15
162,18,99,0,0,241.194
171,19,99,0,0,244.662
189,21,99,0,0,244.678
261,29,99,0,0,244.801
243,27,99,0,0,245.091
180,20,99,0,0,245.443
2400,24,8100,0.2,0,245.767
333,37,99,0,0,245.98
324,36,99,0,0,246.362
225,25,99,0,0,247.005
207,23,99,0,0,248.977
288,32,99,0,0,251.256
198,22,99,0,0,252.492
270,30,99,0,0,252.802
234,26,99,0,0,253.644
297,33,99,0,0,254.6
2600,26,8100,0.2,0,256.279
216,24,99,0,0,256.871
252,28,99,0,0,257.317
2500,25,8100,0.2,0,257.698
279,31,99,0,0,259.019
351,39,99,0,0,259.803
423,47,99,0,0,262.627
396,44,99,0,0,263.196
387,43,99,0,0,263.388
342,38,99,0,0,263.523
468,52,99,0,0,263.889
405,45,99,0,0,264.037
414,46,99,0,0,264.454
2700,27,8100,0.2,0,264.733
378,42,99,0,0,264.773
306,34,99,0,0,265.647
432,48,99,0,0,266.076
441,49,99,0,0,266.525
558,62,99,0,0,267.554
504,56,99,0,0,267.872
360,40,99,0,0,268.38
450,50,99,0,0,268.665
549,61,99,0,0,268.731
369,41,99,0,0,268.797
78,6,897,0,0,269.136
459,51,99,0,0,270.619
603,67,99,0,0,271.735
486,54,99,0,0,272.275
495,55,99,0,0,272.805
